Hour,Filename,Total_Pellets,Task
0,FED001_072424_00.CSV,7,Free Timeout
0,FED002_072424_01.CSV,5,Free Timeout
0,FED003_072424_00.CSV,0.5,Free Timeout
0,FED004_072424_00.CSV,4.5,Free Timeout
0,FED005_072424_01.CSV,0,Free Timeout
0,FED006_072424_00.CSV,5,Free Timeout
0,FED007_072424_01.CSV,4,Free Timeout
0,FED008_072424_01.CSV,3,Free Timeout
0,FED009_072424_00.CSV,6.5,Free Timeout
0,FED001_072224_00.CSV,15.5,Free
0,FED002_072224_00.CSV,0.5,Free
0,FED003_072224_00.CSV,0,Free
0,FED004_072224_00.CSV,5.5,Free
0,FED005_072224_00.CSV,3.5,Free
0,FED006_072224_00.CSV,10,Free
0,FED007_072124_00.CSV,5,Free
0,FED008_072224_00.CSV,6,Free
0,FED009_072224_00.CSV,19,Free
0,FED001_FR1concat.csv,4,FR1
0,FED002_FR1concat.csv,0.5,FR1
0,FED003_FR1concat.csv,2,FR1
0,FED004_FR1concat.csv,3.5,FR1
0,FED005_FR1concat.csv,5.5,FR1
0,FED006_FR1concat.csv,1,FR1
0,FED007_FR1concat.csv,2.5,FR1
0,FED008_FR1concat.csv,6.5,FR1
0,FED009_FR1concat.csv,8.5,FR1
1,FED001_072424_00.CSV,2,Free Timeout
1,FED002_072424_01.CSV,5.5,Free Timeout
1,FED003_072424_00.CSV,3.5,Free Timeout
1,FED004_072424_00.CSV,0,Free Timeout
1,FED005_072424_01.CSV,1,Free Timeout
1,FED006_072424_00.CSV,3.5,Free Timeout
1,FED007_072424_01.CSV,2,Free Timeout
1,FED008_072424_01.CSV,7,Free Timeout
1,FED009_072424_00.CSV,3.5,Free Timeout
1,FED001_072224_00.CSV,0,Free
1,FED002_072224_00.CSV,3.5,Free
1,FED003_072224_00.CSV,4,Free
1,FED004_072224_00.CSV,0,Free
1,FED005_072224_00.CSV,6,Free
1,FED006_072224_00.CSV,0,Free
1,FED007_072124_00.CSV,0,Free
1,FED008_072224_00.CSV,6.5,Free
1,FED009_072224_00.CSV,0,Free
1,FED001_FR1concat.csv,0,FR1
1,FED002_FR1concat.csv,5.5,FR1
1,FED003_FR1concat.csv,2.5,FR1
1,FED004_FR1concat.csv,0,FR1
1,FED005_FR1concat.csv,1.5,FR1
1,FED006_FR1concat.csv,2,FR1
1,FED007_FR1concat.csv,0,FR1
1,FED008_FR1concat.csv,0,FR1
1,FED009_FR1concat.csv,1,FR1
2,FED001_072424_00.CSV,13.5,Free Timeout
2,FED002_072424_01.CSV,3.5,Free Timeout
2,FED003_072424_00.CSV,7,Free Timeout
2,FED004_072424_00.CSV,2,Free Timeout
2,FED005_072424_01.CSV,0.5,Free Timeout
2,FED006_072424_00.CSV,2.5,Free Timeout
2,FED007_072424_01.CSV,4.5,Free Timeout
2,FED008_072424_01.CSV,6.5,Free Timeout
2,FED009_072424_00.CSV,3.5,Free Timeout
2,FED001_072224_00.CSV,0,Free
2,FED002_072224_00.CSV,4,Free
2,FED003_072224_00.CSV,12.5,Free
2,FED004_072224_00.CSV,3.5,Free
2,FED005_072224_00.CSV,2.5,Free
2,FED006_072224_00.CSV,6,Free
2,FED007_072124_00.CSV,0,Free
2,FED008_072224_00.CSV,6,Free
2,FED009_072224_00.CSV,4.5,Free
2,FED001_FR1concat.csv,0,FR1
2,FED002_FR1concat.csv,1.5,FR1
2,FED003_FR1concat.csv,2,FR1
2,FED004_FR1concat.csv,0,FR1
2,FED005_FR1concat.csv,2,FR1
2,FED006_FR1concat.csv,3.5,FR1
2,FED007_FR1concat.csv,0,FR1
2,FED008_FR1concat.csv,3,FR1
2,FED009_FR1concat.csv,0,FR1
3,FED001_072424_00.CSV,2.5,Free Timeout
3,FED002_072424_01.CSV,0,Free Timeout
3,FED003_072424_00.CSV,1.5,Free Timeout
3,FED004_072424_00.CSV,4.5,Free Timeout
3,FED005_072424_01.CSV,3.5,Free Timeout
3,FED006_072424_00.CSV,4.5,Free Timeout
3,FED007_072424_01.CSV,4,Free Timeout
3,FED008_072424_01.CSV,3.5,Free Timeout
3,FED009_072424_00.CSV,2,Free Timeout
