,Filename,Total_Pellets,Task,Mouse
0,FED001_FR1concat.csv,6.333333333,FR1,1
1,FED002_FR1concat.csv,5.5625,FR1,2
2,FED003_FR1concat.csv,6,FR1,3
3,FED004_FR1concat.csv,5.0625,FR1,4
4,FED005_FR1concat.csv,5.208333333,FR1,5
5,FED006_FR1concat.csv,6.125,FR1,6
6,FED007_FR1concat.csv,5.75,FR1,7
7,FED008_FR1concat.csv,6.791666667,FR1,8
8,FED009_FR1concat.csv,6.020833333,FR1,9
0,FED001_072224_00.CSV,9.895833333,Free,1
1,FED002_072224_00.CSV,9.8125,Free,2
2,FED003_072224_00.CSV,10.9375,Free,3
3,FED004_072224_00.CSV,9.375,Free,4
4,FED005_072224_00.CSV,9.125,Free,5
5,FED006_072224_00.CSV,9.333333333,Free,6
6,FED007_072124_00.CSV,9.729166667,Free,7
7,FED008_072224_00.CSV,10.6875,Free,8
8,FED009_072224_00.CSV,10.5625,Free,9
0,FED001_072424_00.CSV,10.08333333,Free Timeout,1
1,FED002_072424_01.CSV,11.83333333,Free Timeout,2
2,FED003_072424_00.CSV,9.395833333,Free Timeout,3
3,FED004_072424_00.CSV,8.104166667,Free Timeout,4
4,FED005_072424_01.CSV,8.229166667,Free Timeout,5
5,FED006_072424_00.CSV,9.0625,Free Timeout,6
6,FED007_072424_01.CSV,9.479166667,Free Timeout,7
7,FED008_072424_01.CSV,10.27083333,Free Timeout,8
8,FED009_072424_00.CSV,9.1875,Free Timeout,9
