MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/22/2024 10:06:27,1.16.3,FreeFeed,4,3.86,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.50
7/22/2024 11:14:23,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
7/22/2024 11:14:25,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,0,2,0,0.85,1,nan
7/22/2024 11:14:25,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,0,3,0,0.18,1,nan
7/22/2024 11:16:16,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,0,4,0,Timed_out,110,nan
7/22/2024 11:16:47,1.16.3,FreeFeed,4,3.85,nan,1,RightWithPellet,Left,1,1,4,0,nan,nan,0.22
7/22/2024 11:16:53,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,5,0,31.19,38,nan
7/22/2024 12:04:16,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,6,0,Timed_out,2843,nan
7/22/2024 12:04:25,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,1,7,0,2.38,9,nan
7/22/2024 12:04:42,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,1,8,0,10.28,17,nan
7/22/2024 12:04:57,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,9,0,8.08,15,nan
7/22/2024 12:04:58,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,10,0,0.18,0,nan
7/22/2024 12:05:12,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,11,0,7.16,15,nan
7/22/2024 13:27:27,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,12,0,Timed_out,4935,nan
7/22/2024 13:28:27,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,13,0,55.32,60,nan
7/22/2024 13:28:35,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,14,0,1.46,7,nan
7/22/2024 13:28:45,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,15,0,3.79,11,nan
7/22/2024 13:29:03,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,16,0,12.07,18,nan
7/22/2024 13:29:22,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,17,0,11.76,19,nan
7/22/2024 13:29:41,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,1,18,0,13.11,19,nan
7/22/2024 13:30:00,1.16.3,FreeFeed,4,3.86,1,1,Pellet,Left,1,1,19,0,12.07,19,nan
7/22/2024 13:30:19,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,20,0,12.37,19,nan
7/22/2024 13:30:27,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,21,0,0.97,8,nan
7/22/2024 13:30:48,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,22,0,14.10,21,nan
7/22/2024 13:31:08,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,23,0,12.93,20,nan
7/22/2024 13:31:27,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,24,0,11.33,18,nan
7/22/2024 13:31:46,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,25,0,12.62,20,nan
7/22/2024 15:41:44,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,26,0,Timed_out,7797,nan
7/22/2024 15:41:57,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,27,0,6.86,14,nan
7/22/2024 15:42:25,1.16.3,FreeFeed,4,3.85,2,1,Pellet,Left,1,1,28,0,18.70,27,nan
7/22/2024 15:42:43,1.16.3,FreeFeed,4,3.84,1,1,Pellet,Left,1,1,29,0,12.44,19,nan
7/22/2024 15:43:04,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,30,0,13.92,21,nan
7/22/2024 15:43:24,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,31,0,12.99,20,nan
7/22/2024 15:43:41,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,32,0,10.53,17,nan
7/22/2024 15:44:05,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,33,0,16.74,23,nan
7/22/2024 16:46:25,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,34,0,Timed_out,3741,nan
7/22/2024 16:46:30,1.16.3,FreeFeed,4,3.85,2,1,Pellet,Left,1,1,35,0,1.34,5,nan
7/22/2024 16:46:48,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,36,0,12.13,18,nan
7/22/2024 16:47:09,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,37,0,13.79,21,nan
7/22/2024 16:47:10,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,38,0,0.36,1,nan
7/22/2024 16:47:30,1.16.3,FreeFeed,4,3.85,1,1,Pellet,Left,1,1,39,0,12.62,20,nan
