MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/22/2024 11:03:51,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
7/22/2024 11:04:09,1.16.3,FreeFeed,5,3.65,3,1,Pellet,Left,0,0,2,0,7.52,18,nan
7/22/2024 11:04:11,1.16.3,FreeFeed,5,3.65,1,1,Pellet,Left,0,0,3,0,1.03,2,nan
7/22/2024 12:40:57,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,4,0,Timed_out,5806,nan
7/22/2024 12:41:33,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,5,0,28.97,36,nan
7/22/2024 13:01:43,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,6,0,Timed_out,1210,nan
7/22/2024 13:02:04,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,7,0,13.72,20,nan
7/22/2024 13:02:22,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,8,0,12.50,19,nan
7/22/2024 13:02:24,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,9,0,0.18,1,nan
7/22/2024 13:02:42,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,10,0,16.74,18,nan
7/22/2024 13:03:01,1.16.3,FreeFeed,5,3.64,2,1,Pellet,Left,0,0,11,0,15.94,20,nan
7/22/2024 13:03:02,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,12,0,0.06,1,nan
7/22/2024 14:14:18,1.16.3,FreeFeed,5,3.63,1,1,Pellet,Left,0,0,13,0,Timed_out,4276,nan
7/22/2024 14:14:20,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,14,0,0.97,2,nan
7/22/2024 14:14:21,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,15,0,0.12,1,nan
7/22/2024 15:39:50,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,16,0,Timed_out,5129,nan
7/22/2024 15:39:51,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,17,0,0.24,1,nan
7/22/2024 15:39:52,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,18,0,0.30,1,nan
7/22/2024 15:40:11,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,19,0,13.11,19,nan
7/22/2024 15:40:31,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,20,0,12.31,20,nan
7/22/2024 15:40:32,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,21,0,0.48,1,nan
7/22/2024 15:40:46,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,22,0,7.96,14,nan
7/22/2024 15:40:47,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,23,0,0.48,1,nan
7/22/2024 15:40:48,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,24,0,0.30,1,nan
7/22/2024 15:41:07,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,25,0,12.01,19,nan
7/22/2024 15:41:28,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,26,0,14.22,21,nan
7/22/2024 15:41:29,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,27,0,0.12,1,nan
7/22/2024 15:41:30,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,28,0,0.18,1,nan
7/22/2024 17:04:44,1.16.3,FreeFeed,5,3.64,2,1,Pellet,Left,0,0,29,0,Timed_out,4994,nan
7/22/2024 17:04:45,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,30,0,0.12,1,nan
7/22/2024 17:05:08,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,31,0,16.67,23,nan
7/22/2024 17:05:11,1.16.3,FreeFeed,5,3.62,1,1,Pellet,Left,0,0,32,0,1.34,3,nan
7/22/2024 17:05:11,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,33,0,0.06,0,nan
7/22/2024 17:05:27,1.16.3,FreeFeed,5,3.64,2,1,Pellet,Left,0,0,34,0,7.71,16,nan
7/22/2024 17:05:44,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,35,0,10.78,17,nan
7/22/2024 17:06:02,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,36,0,11.52,18,nan
7/22/2024 17:06:03,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,37,0,0.06,1,nan
7/22/2024 17:06:05,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,38,0,0.06,2,nan
7/22/2024 17:06:21,1.16.3,FreeFeed,5,3.64,2,1,Pellet,Left,0,0,39,0,8.39,16,nan
7/22/2024 17:31:58,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,40,0,Timed_out,1537,nan
7/22/2024 17:36:17,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,41,0,Timed_out,259,nan
7/22/2024 17:36:34,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,42,0,15.81,17,nan
7/22/2024 17:36:42,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,43,0,1.52,8,nan
7/22/2024 17:36:43,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,44,0,0.06,1,nan
7/22/2024 17:37:02,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,45,0,12.50,19,nan
7/22/2024 17:37:26,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,46,0,17.29,24,nan
7/22/2024 17:37:42,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,47,0,9.24,16,nan
7/22/2024 17:37:43,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,48,0,0.06,1,nan
7/22/2024 17:37:57,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,49,0,8.14,14,nan
7/22/2024 17:52:01,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,50,0,Timed_out,844,nan
7/22/2024 17:52:09,1.16.3,FreeFeed,5,3.63,1,1,Pellet,Left,0,0,51,0,0.67,7,nan
7/22/2024 17:52:21,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,52,0,6.00,13,nan
7/22/2024 17:52:22,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,53,0,0.24,1,nan
7/22/2024 17:52:23,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,54,0,0.06,0,nan
7/22/2024 17:52:38,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,55,0,9.55,16,nan
7/22/2024 17:53:03,1.16.3,FreeFeed,5,3.64,1,1,Pellet,Left,0,0,56,0,17.91,25,nan
7/22/2024 17:55:59,1.16.3,FreeFeed,5,3.64,nan,1,RightWithPellet,Left,0,1,56,0,nan,nan,0.11
7/22/2024 18:14:10,1.16.3,FreeFeed,5,3.64,nan,1,LeftWithPellet,Left,1,1,56,0,nan,nan,0.16
