MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:41:20,8,3.96,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:44:32,8,4.02,,FR1,Poke,Left,2,0,0,,0,FR1
2024-07-28 10:48:58,8,4.02,,FR1,Poke,Left,2,1,0,,0,FR1
2024-07-28 10:50:00,8,4.02,,FR1,Poke,Left,3,1,0,,0,FR1
2024-07-28 10:53:48,8,4.02,,FR1,Poke,Left,4,1,0,,0,FR1
2024-07-28 10:58:21,8,4.02,,FR1,Poke,Left,4,2,0,,0,FR1
2024-07-28 10:58:23,8,4.02,,FR1,Poke,Left,4,3,0,,0,FR1
2024-07-28 11:08:24,8,4.02,3.0,FR1,Pellet,Left,4,3,1,,0,FR1
2024-07-28 11:09:23,8,4.02,,FR1,Poke,Left,4,4,1,,0,FR1
2024-07-28 11:15:47,8,4.02,,FR1,Poke,Left,5,4,1,,0,FR1
2024-07-28 11:16:48,8,4.02,2.0,FR1,Pellet,Left,5,4,2,58.08,0,FR1
2024-07-28 11:18:17,8,4.02,,FR1,Poke,Left,5,5,2,,0,FR1
2024-07-28 11:18:21,8,4.02,,FR1,Poke,Left,6,5,2,,0,FR1
2024-07-28 11:19:11,8,4.02,,FR1,Poke,Left,7,5,2,,0,FR1
2024-07-28 11:19:12,8,4.01,,FR1,Poke,Left,8,5,2,,0,FR1
2024-07-28 11:21:06,8,4.02,1.0,FR1,Pellet,Left,8,5,3,,0,FR1
2024-07-28 11:33:05,8,4.02,,FR1,Poke,Left,9,5,3,,0,FR1
2024-07-28 11:33:05,8,4.01,,FR1,Poke,Left,10,5,3,,0,FR1
2024-07-28 11:33:09,8,4.02,2.0,FR1,Pellet,Left,10,5,4,1.26,0,FR1
2024-07-28 11:33:22,8,4.02,,FR1,Poke,Left,10,6,4,,0,FR1
2024-07-28 11:34:11,8,4.02,,FR1,Poke,Left,10,7,4,,0,FR1
2024-07-28 11:37:57,8,4.02,,FR1,Poke,Left,10,8,4,,0,FR1
2024-07-28 11:38:13,8,4.02,,FR1,Poke,Left,11,8,4,,0,FR1
2024-07-28 11:38:13,8,4.02,,FR1,Poke,Left,12,8,4,,0,FR1
2024-07-28 11:38:17,8,4.01,2.0,FR1,Pellet,Left,12,8,5,0.94,0,FR1
2024-07-28 11:39:20,8,4.02,,FR1,Poke,Left,13,8,5,,0,FR1
2024-07-28 11:39:20,8,4.02,,FR1,Poke,Left,14,8,5,,0,FR1
