MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/21/2024 10:49:24,1.16.3,FreeFeed,7,4.17,2,1,Pellet,Left,0,0,1,0,Timed_out,nan,nan
7/21/2024 10:50:04,1.16.3,FreeFeed,7,4.17,1,1,Pellet,Left,0,0,2,0,33.81,40,nan
7/21/2024 10:50:35,1.16.3,FreeFeed,7,4.17,1,1,Pellet,Left,0,0,3,0,25.15,31,nan
7/21/2024 13:25:22,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,4,0,Timed_out,9287,nan
7/21/2024 13:25:23,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,5,0,0.42,1,nan
7/21/2024 13:28:14,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,6,0,Timed_out,171,nan
7/21/2024 13:28:44,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,7,0,22.94,30,nan
7/21/2024 13:29:08,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,8,0,17.77,24,nan
7/21/2024 13:34:24,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,9,0,Timed_out,316,nan
7/21/2024 13:34:25,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,10,0,0.06,1,nan
7/21/2024 13:34:26,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,11,0,0.06,1,nan
7/21/2024 13:39:24,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,12,0,Timed_out,298,nan
7/21/2024 13:39:45,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,13,0,14.64,21,nan
7/21/2024 13:40:06,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,14,0,15.44,21,nan
7/21/2024 13:43:15,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,15,0,Timed_out,189,nan
7/21/2024 13:43:22,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,16,0,1.21,7,nan
7/21/2024 13:43:38,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,17,0,8.99,16,nan
7/21/2024 13:44:02,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,18,0,16.66,24,nan
7/21/2024 13:44:28,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,19,0,20.10,26,nan
7/21/2024 13:44:57,1.16.3,FreeFeed,7,4.16,1,1,Pellet,Left,0,0,20,0,21.89,29,nan
