MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:40:14,4,3.93,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:40:19,4,3.94,3.0,FR1,Pellet,Left,1,0,1,0.06,0,FR1
2024-07-28 12:55:57,4,3.94,,FR1,Poke,Left,2,0,1,,0,FR1
2024-07-28 12:56:03,4,3.94,3.0,FR1,Pellet,Left,2,0,2,1.58,0,FR1
2024-07-28 12:58:23,4,3.94,,FR1,Poke,Left,3,0,2,,0,FR1
2024-07-28 12:58:25,4,3.94,2.0,FR1,Pellet,Left,3,0,3,1.01,0,FR1
2024-07-28 12:59:23,4,3.94,,FR1,Poke,Left,4,0,3,,0,FR1
2024-07-28 12:59:25,4,3.94,1.0,FR1,Pellet,Left,4,0,4,1.07,0,FR1
2024-07-28 15:07:46,4,3.94,,FR1,Poke,Left,5,0,4,,0,FR1
2024-07-28 15:07:48,4,3.94,1.0,FR1,Pellet,Left,5,0,5,0.75,0,FR1
2024-07-28 16:20:19,4,3.93,,FR1,Poke,Left,6,0,5,,0,FR1
2024-07-28 16:20:20,4,3.94,1.0,FR1,Pellet,Left,6,0,6,0.63,0,FR1
2024-07-28 16:21:33,4,3.93,,FR1,Poke,Left,7,0,6,,0,FR1
2024-07-28 16:21:34,4,3.94,1.0,FR1,Pellet,Left,7,0,7,0.5,0,FR1
2024-07-28 16:56:44,4,3.93,,FR1,Poke,Left,8,0,7,,0,FR1
2024-07-28 16:56:45,4,3.94,1.0,FR1,Pellet,Left,8,0,8,0.37,0,FR1
2024-07-28 16:57:43,4,3.93,,FR1,Poke,Left,9,0,8,,0,FR1
2024-07-28 16:57:44,4,3.94,,FR1,Poke,Left,10,0,8,,0,FR1
2024-07-28 16:57:47,4,3.93,3.0,FR1,Pellet,Left,10,0,9,0.12,0,FR1
2024-07-28 16:58:35,4,3.94,,FR1,Poke,Left,11,0,9,,0,FR1
2024-07-28 16:58:35,4,3.94,,FR1,Poke,Left,12,0,9,,0,FR1
2024-07-28 16:58:38,4,3.94,2.0,FR1,Pellet,Left,12,0,10,0.31,0,FR1
2024-07-28 16:59:06,4,3.94,,FR1,Poke,Left,13,0,10,,0,FR1
2024-07-28 16:59:07,4,3.94,1.0,FR1,Pellet,Left,13,0,11,0.19,0,FR1
2024-07-28 17:10:21,4,3.94,,FR1,Poke,Left,14,0,11,,0,FR1
2024-07-28 17:10:22,4,3.93,1.0,FR1,Pellet,Left,14,0,12,0.18,0,FR1
2024-07-28 17:11:32,4,3.93,,FR1,Poke,Left,15,0,12,,0,FR1
2024-07-28 17:11:33,4,3.93,1.0,FR1,Pellet,Left,15,0,13,0.19,0,FR1
2024-07-28 17:12:13,4,3.94,,FR1,Poke,Left,16,0,13,,0,FR1
2024-07-28 17:12:14,4,3.93,2.0,FR1,Pellet,Left,16,0,14,0.19,0,FR1
2024-07-28 17:53:03,4,3.94,,FR1,Poke,Left,17,0,14,,0,FR1
2024-07-28 17:53:04,4,3.93,1.0,FR1,Pellet,Left,17,0,15,0.31,0,FR1
2024-07-28 17:53:38,4,3.94,,FR1,Poke,Left,18,0,15,,0,FR1
2024-07-28 17:53:39,4,3.93,1.0,FR1,Pellet,Left,18,0,16,0.12,0,FR1
2024-07-28 18:04:02,4,3.93,,FR1,Poke,Left,19,0,16,,0,FR1
2024-07-28 18:04:03,4,3.93,1.0,FR1,Pellet,Left,19,0,17,0.37,0,FR1
2024-07-28 18:04:31,4,3.93,,FR1,Poke,Left,19,1,17,,0,FR1
2024-07-28 18:04:38,4,3.93,,FR1,Poke,Left,20,1,17,,0,FR1
2024-07-28 18:04:39,4,3.94,,FR1,Poke,Left,21,1,17,,0,FR1
2024-07-28 18:04:42,4,3.93,2.0,FR1,Pellet,Left,21,1,18,0.12,0,FR1
2024-07-28 18:05:15,4,3.93,,FR1,Poke,Left,22,1,18,,0,FR1
2024-07-28 18:05:16,4,3.93,1.0,FR1,Pellet,Left,22,1,19,0.25,0,FR1
2024-07-28 18:05:34,4,3.93,,FR1,Poke,Left,23,1,19,,0,FR1
2024-07-28 18:05:35,4,3.93,,FR1,Poke,Left,24,1,19,,0,FR1
2024-07-28 18:05:39,4,3.93,,FR1,Poke,Left,25,1,19,,0,FR1
2024-07-28 18:05:42,4,3.93,2.0,FR1,Pellet,Left,25,1,20,3.58,0,FR1
2024-07-28 18:06:13,4,3.93,,FR1,Poke,Left,26,1,20,,0,FR1
2024-07-28 18:06:14,4,3.94,1.0,FR1,Pellet,Left,26,1,21,0.44,0,FR1
2024-07-28 18:11:10,4,3.93,,FR1,Poke,Left,27,1,21,,0,FR1
2024-07-28 18:11:15,4,3.93,1.0,FR1,Pellet,Left,27,1,22,3.99,0,FR1
2024-07-28 18:19:56,4,3.93,,FR1,Poke,Left,28,1,22,,0,FR1
2024-07-28 18:19:57,4,3.93,1.0,FR1,Pellet,Left,28,1,23,0.44,0,FR1
2024-07-28 18:23:25,4,3.93,,FR1,Poke,Left,29,1,23,,0,FR1
2024-07-28 18:23:28,4,3.92,,FR1,Poke,Left,30,1,23,,0,FR1
2024-07-28 18:23:28,4,3.93,,FR1,Poke,Left,31,1,23,,0,FR1
2024-07-28 18:23:30,4,3.93,,FR1,Poke,Left,32,1,23,,0,FR1
2024-07-28 18:23:42,4,3.93,1.0,FR1,Pellet,Left,32,1,24,16.13,0,FR1
2024-07-28 18:27:05,4,3.93,,FR1,Poke,Left,32,2,24,,0,FR1
2024-07-28 18:27:07,4,3.93,,FR1,Poke,Left,32,3,24,,0,FR1
2024-07-28 18:27:20,4,3.93,,FR1,Poke,Left,32,4,24,,0,FR1
2024-07-28 18:34:48,4,3.93,,FR1,Poke,Left,33,4,24,,0,FR1
2024-07-28 18:34:49,4,3.93,,FR1,Poke,Left,34,4,24,,0,FR1
2024-07-28 18:34:52,4,3.93,2.0,FR1,Pellet,Left,34,4,25,0.63,0,FR1
2024-07-28 18:35:13,4,3.93,,FR1,Poke,Left,35,4,25,,0,FR1
