,Hour,Filename,Total_Pellets
0,0,FED001_FR1concat.csv,4.0
1,0,FED009_FR1concat.csv,8.5
2,0,FED008_FR1concat.csv,6.5
3,0,FED007_FR1concat.csv,2.5
4,0,FED002_FR1concat.csv,0.5
5,0,FED005_FR1concat.csv,5.5
6,0,FED004_FR1concat.csv,3.5
7,0,FED003_FR1concat.csv,2.0
8,0,FED006_FR1concat.csv,1.0
9,1,FED009_FR1concat.csv,1.0
10,1,FED007_FR1concat.csv,0.0
11,1,FED006_FR1concat.csv,2.0
12,1,FED008_FR1concat.csv,0.0
13,1,FED004_FR1concat.csv,0.0
14,1,FED003_FR1concat.csv,2.5
15,1,FED002_FR1concat.csv,5.5
16,1,FED001_FR1concat.csv,0.0
17,1,FED005_FR1concat.csv,1.5
18,2,FED001_FR1concat.csv,0.0
19,2,FED002_FR1concat.csv,1.5
20,2,FED003_FR1concat.csv,2.0
21,2,FED004_FR1concat.csv,0.0
22,2,FED005_FR1concat.csv,2.0
23,2,FED006_FR1concat.csv,3.5
24,2,FED007_FR1concat.csv,0.0
25,2,FED009_FR1concat.csv,0.0
26,2,FED008_FR1concat.csv,3.0
27,3,FED003_FR1concat.csv,1.5
28,3,FED002_FR1concat.csv,1.0
29,3,FED009_FR1concat.csv,3.5
30,3,FED008_FR1concat.csv,0.5
31,3,FED001_FR1concat.csv,1.5
32,3,FED006_FR1concat.csv,0.0
33,3,FED005_FR1concat.csv,0.0
34,3,FED007_FR1concat.csv,2.5
35,3,FED004_FR1concat.csv,2.5
36,4,FED008_FR1concat.csv,0.0
37,4,FED007_FR1concat.csv,0.0
38,4,FED009_FR1concat.csv,2.0
39,4,FED004_FR1concat.csv,2.0
40,4,FED003_FR1concat.csv,2.0
41,4,FED002_FR1concat.csv,1.5
42,4,FED001_FR1concat.csv,2.5
43,4,FED005_FR1concat.csv,1.5
44,4,FED006_FR1concat.csv,3.5
45,5,FED001_FR1concat.csv,2.0
46,5,FED002_FR1concat.csv,2.5
47,5,FED003_FR1concat.csv,2.5
48,5,FED004_FR1concat.csv,0.0
49,5,FED005_FR1concat.csv,0.0
50,5,FED006_FR1concat.csv,0.5
