IPI,Task
21.474285714285713,Free
28.44776119402985,Free
19.161290322580644,Free
31.517006802721088,Free
30.847826086956523,Free
25.333333333333332,Free
19.076023391812864,Free
15.89795918367347,Free
16.807692307692307,Free
19.086206896551722,Free
19.97452229299363,Free
12.394366197183098,Free
23.25503355704698,Free
14.431952662721894,Free
23.448979591836736,Free
21.638418079096045,Free
25.869565217391305,Free
21.062271062271062,Free
22.318548387096776,Free
19.213872832369944,Free
31.07777777777778,Free
24.402985074626866,Free
31.195488721804512,Free
33.18120805369127,Free
43.628571428571426,Free
32.92638036809816,Free
43.282051282051285,Free
22.28,Free
29.414634146341463,Free
18.385474860335197,Free
26.192857142857143,Free
27.832512315270936,Free
19.646788990825687,Free
24.622549019607842,Free
21.806930693069308,Free
15.301136363636363,Free
30.22222222222222,Free
22.352941176470587,Free
25.5561797752809,Free
22.060344827586206,Free
16.00995024875622,Free
21.529411764705884,Free
19.347619047619048,Free
28.8476821192053,Free
21.036082474226806,Free
18.039800995024876,Free
30.42105263157895,Free
21.739583333333332,Free
15.013100436681222,Free
14.96629213483146,Free
20.805194805194805,Free
16.216748768472907,Free
23.916666666666668,Free
25.57046979865772,Free
19.89637305699482,Free
17.434579439252335,Free
22.122448979591837,Free
14.683333333333334,Free
21.677419354838708,Free
16.6,Free
20.675324675324674,Free
20.07909604519774,Free
15.650537634408602,Free
19.126582278481013,Free
17.080291970802918,Free
23.300970873786408,Free
16.175531914893618,Free
27.598765432098766,Free
21.81122448979592,Free
20.299319727891156,Free
25.11627906976744,Free
21.36466165413534,Free
22.058823529411764,Free
20.75092936802974,Free
31.215859030837006,Free
34.2020725388601,Free
19.3943661971831,Free
24.75225225225225,Free
36.32142857142857,Free
22.4017094017094,Free
19.654109589041095,Free
17.208588957055216,Free
36.532786885245905,Free
51.857142857142854,Free
41.20183486238532,Free
43.02272727272727,Free
18.89375,Free
20.34319526627219,Free
18.226993865030675,Free
17.182795698924732,Free
15.20496894409938,Free
15.79203539823009,Free
14.641255605381167,Free
26.416666666666668,Free
14.916666666666666,Free
19.773255813953487,Free
14.895397489539748,Free
17.60843373493976,Free
19.1699604743083,Free
13.51685393258427,Free
15.80794701986755,Free
12.346820809248555,Free
13.76923076923077,Free
12.791666666666666,Free
15.28888888888889,Free
14.867549668874172,Free
41.09289617486339,FR1
42.22950819672131,FR1
25.311475409836067,FR1
41.641975308641975,FR1
46.32835820895522,FR1
36.03809523809524,FR1
28.789915966386555,FR1
26.365384615384617,FR1
26.513698630136986,FR1
26.390070921985817,FR1
31.87730061349693,FR1
21.6,FR1
29.151162790697676,FR1
27.36111111111111,FR1
41.55339805825243,FR1
41.753246753246756,FR1
32.50704225352113,FR1
30.801652892561982,FR1
33.88073394495413,FR1
31.188524590163933,FR1
51.65079365079365,FR1
47.642857142857146,FR1
35.31818181818182,FR1
55.5625,FR1
79.0,FR1
57.79775280898876,FR1
40.89473684210526,FR1
47.85616438356164,FR1
41.97575757575758,FR1
39.872832369942195,FR1
39.25925925925926,FR1
30.221052631578946,FR1
32.64772727272727,FR1
36.329268292682926,FR1
30.316176470588236,FR1
38.46969696969697,FR1
39.56923076923077,FR1
37.318471337579616,FR1
34.990990990990994,FR1
21.34453781512605,FR1
27.56122448979592,FR1
24.64814814814815,FR1
25.878260869565217,FR1
32.28455284552845,FR1
39.69387755102041,FR1
34.474074074074075,FR1
57.47826086956522,FR1
41.92,FR1
40.86363636363637,FR1
31.596491228070175,FR1
35.03703703703704,FR1
29.24867724867725,FR1
28.834170854271356,FR1
28.271604938271604,FR1
32.50595238095238,FR1
28.737967914438503,FR1
26.70731707317073,FR1
26.51497005988024,FR1
21.282608695652176,FR1
32.49333333333333,FR1
28.484126984126984,FR1
27.53939393939394,FR1
30.88,FR1
28.497076023391813,FR1
25.958333333333332,FR1
34.723404255319146,FR1
30.204379562043794,FR1
32.406451612903226,FR1
26.95364238410596,FR1
34.71764705882353,FR1
25.035087719298247,FR1
43.4622641509434,FR1
27.197183098591548,FR1
36.10948905109489,FR1
32.73873873873874,FR1
37.0,FR1
49.170212765957444,FR1
35.24590163934426,FR1
46.36470588235294,FR1
39.0,FR1
47.42666666666667,FR1
22.554054054054053,FR1
47.8348623853211,FR1
48.36,FR1
33.41860465116279,FR1
41.89393939393939,FR1
37.11340206185567,FR1
36.19444444444444,FR1
39.88990825688074,FR1
34.87428571428571,FR1
38.07826086956522,FR1
38.5,FR1
32.05072463768116,FR1
38.08108108108108,FR1
28.677419354838708,FR1
34.20338983050848,FR1
36.63559322033898,FR1
32.32967032967033,FR1
25.376712328767123,FR1
24.90983606557377,FR1
23.49645390070922,FR1
25.14018691588785,FR1
26.31132075471698,FR1
26.62264150943396,FR1
27.217391304347824,FR1
46.53164556962025,FR1
