Interval,Filename
67.0,M_11_Andrews_FR1_fed01304262201.csv
644.0,M_11_Andrews_FR1_fed01304262201.csv
45.0,M_11_Andrews_FR1_fed01304262201.csv
2655.0,M_11_Andrews_FR1_fed01304262201.csv
526.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
12.0,M_11_Andrews_FR1_fed01304262201.csv
14.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
1664.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
13.0,M_11_Andrews_FR1_fed01304262201.csv
13.0,M_11_Andrews_FR1_fed01304262201.csv
1253.0,M_11_Andrews_FR1_fed01304262201.csv
1118.0,M_11_Andrews_FR1_fed01304262201.csv
324.0,M_11_Andrews_FR1_fed01304262201.csv
1072.0,M_11_Andrews_FR1_fed01304262201.csv
4031.0,M_11_Andrews_FR1_fed01304262201.csv
486.0,M_11_Andrews_FR1_fed01304262201.csv
64.0,M_11_Andrews_FR1_fed01304262201.csv
2103.0,M_11_Andrews_FR1_fed01304262201.csv
37.0,M_11_Andrews_FR1_fed01304262201.csv
30.0,M_11_Andrews_FR1_fed01304262201.csv
1447.0,M_11_Andrews_FR1_fed01304262201.csv
2051.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
199.0,M_11_Andrews_FR1_fed01304262201.csv
23.0,M_11_Andrews_FR1_fed01304262201.csv
234.0,M_11_Andrews_FR1_fed01304262201.csv
11.0,M_11_Andrews_FR1_fed01304262201.csv
1307.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
24.0,M_11_Andrews_FR1_fed01304262201.csv
23.0,M_11_Andrews_FR1_fed01304262201.csv
820.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
10.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
1270.0,M_11_Andrews_FR1_fed01304262201.csv
16.0,M_11_Andrews_FR1_fed01304262201.csv
289.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
315.0,M_11_Andrews_FR1_fed01304262201.csv
826.0,M_11_Andrews_FR1_fed01304262201.csv
23.0,M_11_Andrews_FR1_fed01304262201.csv
14.0,M_11_Andrews_FR1_fed01304262201.csv
1068.0,M_11_Andrews_FR1_fed01304262201.csv
57.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
761.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
21.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
898.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
520.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
24.0,M_11_Andrews_FR1_fed01304262201.csv
1946.0,M_11_Andrews_FR1_fed01304262201.csv
748.0,M_11_Andrews_FR1_fed01304262201.csv
28.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
470.0,M_11_Andrews_FR1_fed01304262201.csv
29.0,M_11_Andrews_FR1_fed01304262201.csv
10.0,M_11_Andrews_FR1_fed01304262201.csv
21.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
1662.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
21.0,M_11_Andrews_FR1_fed01304262201.csv
752.0,M_11_Andrews_FR1_fed01304262201.csv
8.0,M_11_Andrews_FR1_fed01304262201.csv
24.0,M_11_Andrews_FR1_fed01304262201.csv
27.0,M_11_Andrews_FR1_fed01304262201.csv
27.0,M_11_Andrews_FR1_fed01304262201.csv
1184.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
1184.0,M_11_Andrews_FR1_fed01304262201.csv
634.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
1340.0,M_11_Andrews_FR1_fed01304262201.csv
293.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
28.0,M_11_Andrews_FR1_fed01304262201.csv
326.0,M_11_Andrews_FR1_fed01304262201.csv
768.0,M_11_Andrews_FR1_fed01304262201.csv
13.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
13.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
1513.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
29.0,M_11_Andrews_FR1_fed01304262201.csv
35.0,M_11_Andrews_FR1_fed01304262201.csv
1146.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
14.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
14.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
1261.0,M_11_Andrews_FR1_fed01304262201.csv
23.0,M_11_Andrews_FR1_fed01304262201.csv
21.0,M_11_Andrews_FR1_fed01304262201.csv
3109.0,M_11_Andrews_FR1_fed01304262201.csv
9.0,M_11_Andrews_FR1_fed01304262201.csv
312.0,M_11_Andrews_FR1_fed01304262201.csv
32.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
8.0,M_11_Andrews_FR1_fed01304262201.csv
1735.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
39.0,M_11_Andrews_FR1_fed01304262201.csv
3722.0,M_11_Andrews_FR1_fed01304262201.csv
22.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
16.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
34.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
16.0,M_11_Andrews_FR1_fed01304262201.csv
3122.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
252.0,M_11_Andrews_FR1_fed01304262201.csv
16.0,M_11_Andrews_FR1_fed01304262201.csv
15.0,M_11_Andrews_FR1_fed01304262201.csv
2263.0,M_11_Andrews_FR1_fed01304262201.csv
348.0,M_11_Andrews_FR1_fed01304262201.csv
413.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
845.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
2038.0,M_11_Andrews_FR1_fed01304262201.csv
3471.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
7.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
16.0,M_11_Andrews_FR1_fed01304262201.csv
19.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
20.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
18.0,M_11_Andrews_FR1_fed01304262201.csv
3677.0,M_11_Andrews_FR1_fed01304262201.csv
25.0,M_11_Andrews_FR1_fed01304262201.csv
23.0,M_11_Andrews_FR1_fed01304262201.csv
17.0,M_11_Andrews_FR1_fed01304262201.csv
6252.0,M_11_Andrews_FR1_fed01304262201.csv
2647.0,M_11_Andrews_FR1_fed01304262201.csv
29.0,M_11_Andrews_FR1_fed01304262201.csv
35.0,M_11_Andrews_FR1_fed01304262201.csv
26.0,M_11_Andrews_FR1_fed01304262201.csv
755.0,M_10_Andrews_FR1_fed00904262201.csv
442.0,M_10_Andrews_FR1_fed00904262201.csv
845.0,M_10_Andrews_FR1_fed00904262201.csv
97.0,M_10_Andrews_FR1_fed00904262201.csv
633.0,M_10_Andrews_FR1_fed00904262201.csv
2513.0,M_10_Andrews_FR1_fed00904262201.csv
1342.0,M_10_Andrews_FR1_fed00904262201.csv
33.0,M_10_Andrews_FR1_fed00904262201.csv
766.0,M_10_Andrews_FR1_fed00904262201.csv
452.0,M_10_Andrews_FR1_fed00904262201.csv
2440.0,M_10_Andrews_FR1_fed00904262201.csv
492.0,M_10_Andrews_FR1_fed00904262201.csv
4209.0,M_10_Andrews_FR1_fed00904262201.csv
355.0,M_10_Andrews_FR1_fed00904262201.csv
4947.0,M_10_Andrews_FR1_fed00904262201.csv
118.0,M_10_Andrews_FR1_fed00904262201.csv
34.0,M_10_Andrews_FR1_fed00904262201.csv
38.0,M_10_Andrews_FR1_fed00904262201.csv
38.0,M_10_Andrews_FR1_fed00904262201.csv
312.0,M_10_Andrews_FR1_fed00904262201.csv
459.0,M_10_Andrews_FR1_fed00904262201.csv
134.0,M_10_Andrews_FR1_fed00904262201.csv
552.0,M_10_Andrews_FR1_fed00904262201.csv
85.0,M_10_Andrews_FR1_fed00904262201.csv
7.0,M_10_Andrews_FR1_fed00904262201.csv
33.0,M_10_Andrews_FR1_fed00904262201.csv
32.0,M_10_Andrews_FR1_fed00904262201.csv
62.0,M_10_Andrews_FR1_fed00904262201.csv
251.0,M_10_Andrews_FR1_fed00904262201.csv
58.0,M_10_Andrews_FR1_fed00904262201.csv
43.0,M_10_Andrews_FR1_fed00904262201.csv
1039.0,M_10_Andrews_FR1_fed00904262201.csv
566.0,M_10_Andrews_FR1_fed00904262201.csv
630.0,M_10_Andrews_FR1_fed00904262201.csv
46.0,M_10_Andrews_FR1_fed00904262201.csv
51.0,M_10_Andrews_FR1_fed00904262201.csv
4114.0,M_10_Andrews_FR1_fed00904262201.csv
45.0,M_10_Andrews_FR1_fed00904262201.csv
67.0,M_10_Andrews_FR1_fed00904262201.csv
47.0,M_10_Andrews_FR1_fed00904262201.csv
37.0,M_10_Andrews_FR1_fed00904262201.csv
36.0,M_10_Andrews_FR1_fed00904262201.csv
48.0,M_10_Andrews_FR1_fed00904262201.csv
23.0,M_10_Andrews_FR1_fed00904262201.csv
7931.0,M_10_Andrews_FR1_fed00904262201.csv
39.0,M_10_Andrews_FR1_fed00904262201.csv
22.0,M_10_Andrews_FR1_fed00904262201.csv
24.0,M_10_Andrews_FR1_fed00904262201.csv
32.0,M_10_Andrews_FR1_fed00904262201.csv
64.0,M_10_Andrews_FR1_fed00904262201.csv
31.0,M_10_Andrews_FR1_fed00904262201.csv
11.0,M_10_Andrews_FR1_fed00904262201.csv
44.0,M_10_Andrews_FR1_fed00904262201.csv
4365.0,M_10_Andrews_FR1_fed00904262201.csv
27.0,M_10_Andrews_FR1_fed00904262201.csv
5371.0,M_10_Andrews_FR1_fed00904262201.csv
7.0,M_10_Andrews_FR1_fed00904262201.csv
24.0,M_10_Andrews_FR1_fed00904262201.csv
36.0,M_10_Andrews_FR1_fed00904262201.csv
25.0,M_10_Andrews_FR1_fed00904262201.csv
3313.0,M_10_Andrews_FR1_fed00904262201.csv
31.0,M_10_Andrews_FR1_fed00904262201.csv
23.0,M_10_Andrews_FR1_fed00904262201.csv
39.0,M_10_Andrews_FR1_fed00904262201.csv
700.0,M_10_Andrews_FR1_fed00904262201.csv
35.0,M_10_Andrews_FR1_fed00904262201.csv
37.0,M_10_Andrews_FR1_fed00904262201.csv
45.0,M_10_Andrews_FR1_fed00904262201.csv
41.0,M_10_Andrews_FR1_fed00904262201.csv
301.0,M_10_Andrews_FR1_fed00904262201.csv
28.0,M_10_Andrews_FR1_fed00904262201.csv
30.0,M_10_Andrews_FR1_fed00904262201.csv
38.0,M_10_Andrews_FR1_fed00904262201.csv
5921.0,M_10_Andrews_FR1_fed00904262201.csv
32.0,M_10_Andrews_FR1_fed00904262201.csv
23.0,M_10_Andrews_FR1_fed00904262201.csv
20.0,M_10_Andrews_FR1_fed00904262201.csv
48.0,M_10_Andrews_FR1_fed00904262201.csv
12.0,M_10_Andrews_FR1_fed00904262201.csv
32.0,M_10_Andrews_FR1_fed00904262201.csv
11.0,M_10_Andrews_FR1_fed00904262201.csv
288.0,M_10_Andrews_FR1_fed00904262201.csv
837.0,M_10_Andrews_FR1_fed00904262201.csv
542.0,M_10_Andrews_FR1_fed00904262201.csv
621.0,M_10_Andrews_FR1_fed00904262201.csv
39.0,M_10_Andrews_FR1_fed00904262201.csv
44.0,M_10_Andrews_FR1_fed00904262201.csv
49.0,M_10_Andrews_FR1_fed00904262201.csv
52.0,M_10_Andrews_FR1_fed00904262201.csv
50.0,M_10_Andrews_FR1_fed00904262201.csv
42.0,M_10_Andrews_FR1_fed00904262201.csv
1745.0,M_10_Andrews_FR1_fed00904262201.csv
267.0,M_10_Andrews_FR1_fed00904262201.csv
5836.0,M_10_Andrews_FR1_fed00904262201.csv
30.0,M_10_Andrews_FR1_fed00904262201.csv
24.0,M_10_Andrews_FR1_fed00904262201.csv
7513.0,M_10_Andrews_FR1_fed00904262201.csv
32.0,M_10_Andrews_FR1_fed00904262201.csv
