Interval,Filename
18.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
27.0,M_11_Andrews_Free_fed01302032200.csv
2381.0,M_11_Andrews_Free_fed01302032200.csv
52.0,M_11_Andrews_Free_fed01302032200.csv
1.0,M_11_Andrews_Free_fed01302032200.csv
35.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
7531.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
35.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
6140.0,M_11_Andrews_Free_fed01302032200.csv
23.0,M_11_Andrews_Free_fed01302032200.csv
485.0,M_11_Andrews_Free_fed01302032200.csv
2392.0,M_11_Andrews_Free_fed01302032200.csv
439.0,M_11_Andrews_Free_fed01302032200.csv
25.0,M_11_Andrews_Free_fed01302032200.csv
24.0,M_11_Andrews_Free_fed01302032200.csv
26.0,M_11_Andrews_Free_fed01302032200.csv
472.0,M_11_Andrews_Free_fed01302032200.csv
23.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
3653.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
84.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
1044.0,M_11_Andrews_Free_fed01302032200.csv
17.0,M_11_Andrews_Free_fed01302032200.csv
748.0,M_11_Andrews_Free_fed01302032200.csv
181.0,M_11_Andrews_Free_fed01302032200.csv
16.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
16.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
579.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
147.0,M_11_Andrews_Free_fed01302032200.csv
119.0,M_11_Andrews_Free_fed01302032200.csv
13.0,M_11_Andrews_Free_fed01302032200.csv
2.0,M_11_Andrews_Free_fed01302032200.csv
594.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
637.0,M_11_Andrews_Free_fed01302032200.csv
15.0,M_11_Andrews_Free_fed01302032200.csv
17.0,M_11_Andrews_Free_fed01302032200.csv
19.0,M_11_Andrews_Free_fed01302032200.csv
2188.0,M_11_Andrews_Free_fed01302032200.csv
22.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
21.0,M_11_Andrews_Free_fed01302032200.csv
850.0,M_11_Andrews_Free_fed01302032200.csv
9.0,M_11_Andrews_Free_fed01302032200.csv
16.0,M_11_Andrews_Free_fed01302032200.csv
18.0,M_11_Andrews_Free_fed01302032200.csv
9.0,M_11_Andrews_Free_fed01302032200.csv
1619.0,M_11_Andrews_Free_fed01302032200.csv
20.0,M_11_Andrews_Free_fed01302032200.csv
