MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/3/2021 16:59:49,1.8.3,FR1,1,3.98,1,1,Left,Left,1,0,0,0,nan,nan,0.21
11/3/2021 17:11:47,1.8.3,FR1,1,3.98,2,1,Pellet,Left,1,0,1,0,Timed_out,nan,nan
11/3/2021 17:16:54,1.8.3,FR1,1,3.98,1,1,Left,Left,2,0,1,0,nan,nan,0.04
11/3/2021 18:16:54,1.8.3,FR1,1,3.98,3,1,Pellet,Left,2,0,2,0,Timed_out,3907,nan
11/3/2021 18:19:45,1.8.3,FR1,1,3.98,1,1,Left,Left,3,0,2,0,nan,nan,0.47
11/3/2021 18:20:16,1.8.3,FR1,1,3.98,1,1,Pellet,Left,3,0,3,0,31.13,202,nan
11/3/2021 18:35:53,1.8.3,FR1,1,3.98,1,1,Right,Left,3,1,3,0,nan,nan,0.03
11/3/2021 18:43:16,1.8.3,FR1,1,3.98,1,1,Right,Left,3,2,3,0,nan,nan,0.21
11/3/2021 18:53:56,1.8.3,FR1,1,3.98,1,1,Right,Left,3,3,3,0,nan,nan,0.14
11/3/2021 19:28:36,1.8.3,FR1,1,3.98,1,1,Right,Left,3,4,3,0,nan,nan,0.03
11/3/2021 19:28:37,1.8.3,FR1,1,3.98,1,1,Right,Left,3,5,3,0,nan,nan,0.00
11/3/2021 19:28:38,1.8.3,FR1,1,3.98,1,1,Right,Left,3,6,3,0,nan,nan,0.04
11/3/2021 19:28:40,1.8.3,FR1,1,3.98,1,1,Right,Left,3,7,3,0,nan,nan,0.97
11/3/2021 19:28:41,1.8.3,FR1,1,3.98,1,1,Right,Left,3,8,3,0,nan,nan,0.17
11/3/2021 19:28:42,1.8.3,FR1,1,3.98,1,1,Right,Left,3,9,3,0,nan,nan,0.01
11/3/2021 19:28:45,1.8.3,FR1,1,3.98,1,1,Right,Left,3,10,3,0,nan,nan,0.00
11/3/2021 19:28:45,1.8.3,FR1,1,3.98,1,1,Right,Left,3,11,3,0,nan,nan,0.02
11/3/2021 19:28:49,1.8.3,FR1,1,3.98,1,1,Right,Left,3,12,3,0,nan,nan,0.01
11/3/2021 19:28:50,1.8.3,FR1,1,3.98,1,1,Right,Left,3,13,3,0,nan,nan,0.05
11/3/2021 19:28:52,1.8.3,FR1,1,3.97,1,1,Right,Left,3,14,3,0,nan,nan,0.14
11/3/2021 19:35:18,1.8.3,FR1,1,3.98,1,1,Left,Left,4,14,3,0,nan,nan,0.76
11/3/2021 19:35:28,1.8.3,FR1,1,3.98,1,1,Pellet,Left,4,14,4,0,8.92,4512,nan
11/3/2021 20:02:04,1.8.3,FR1,1,3.98,1,1,Right,Left,4,15,4,0,nan,nan,0.05
11/3/2021 20:02:20,1.8.3,FR1,1,3.98,1,1,Right,Left,4,16,4,0,nan,nan,0.03
11/3/2021 20:26:24,1.8.3,FR1,1,3.98,1,1,Right,Left,4,17,4,0,nan,nan,0.01
11/3/2021 20:31:46,1.8.3,FR1,1,3.97,1,1,Right,Left,4,18,4,0,nan,nan,0.28
11/3/2021 20:36:58,1.8.3,FR1,1,3.97,1,1,Right,Left,4,19,4,0,nan,nan,0.07
11/3/2021 20:38:23,1.8.3,FR1,1,3.98,1,1,Right,Left,4,20,4,0,nan,nan,0.13
11/3/2021 22:00:23,1.8.3,FR1,1,3.97,1,1,Right,Left,4,21,4,0,nan,nan,0.26
11/3/2021 22:00:31,1.8.3,FR1,1,3.97,1,1,Right,Left,4,22,4,0,nan,nan,0.08
11/3/2021 22:00:32,1.8.3,FR1,1,3.97,1,1,Right,Left,4,23,4,0,nan,nan,0.71
11/3/2021 22:00:34,1.8.3,FR1,1,3.98,1,1,Right,Left,4,24,4,0,nan,nan,0.66
11/3/2021 22:19:11,1.8.3,FR1,1,3.97,1,1,Left,Left,5,24,4,0,nan,nan,0.14
11/3/2021 22:19:13,1.8.3,FR1,1,3.97,1,1,Pellet,Left,5,24,5,0,1.63,9825,nan
11/3/2021 22:20:05,1.8.3,FR1,1,3.98,1,1,Left,Left,6,24,5,0,nan,nan,0.05
11/3/2021 22:20:13,1.8.3,FR1,1,3.97,1,1,Pellet,Left,6,24,6,0,6.47,59,nan
11/3/2021 22:21:30,1.8.3,FR1,1,3.97,1,1,Left,Left,7,24,6,0,nan,nan,0.15
11/3/2021 22:21:42,1.8.3,FR1,1,3.97,1,1,Pellet,Left,7,24,7,0,11.79,90,nan
11/3/2021 22:29:40,1.8.3,FR1,1,3.97,1,1,Right,Left,7,25,7,0,nan,nan,0.16
11/3/2021 22:30:07,1.8.3,FR1,1,3.97,1,1,Right,Left,7,26,7,0,nan,nan,0.15
11/3/2021 22:54:17,1.8.3,FR1,1,3.97,1,1,Left,Left,8,26,7,0,nan,nan,0.39
11/3/2021 22:54:23,1.8.3,FR1,1,3.98,1,1,Pellet,Left,8,26,8,0,5.31,1961,nan
11/3/2021 23:07:07,1.8.3,FR1,1,3.97,1,1,Left,Left,9,26,8,0,nan,nan,0.14
11/3/2021 23:07:17,1.8.3,FR1,1,3.97,2,1,Pellet,Left,9,26,9,0,7.08,774,nan
11/3/2021 23:09:46,1.8.3,FR1,1,3.97,1,1,Left,Left,10,26,9,0,nan,nan,0.13
11/3/2021 23:09:53,1.8.3,FR1,1,3.97,1,1,Pellet,Left,10,26,10,0,6.20,156,nan
11/3/2021 23:34:01,1.8.3,FR1,1,3.97,1,1,Left,Left,11,26,10,0,nan,nan,0.34
11/3/2021 23:34:09,1.8.3,FR1,1,3.97,1,1,Pellet,Left,11,26,11,0,7.42,1456,nan
11/3/2021 23:45:15,1.8.3,FR1,1,3.97,1,1,Left,Left,12,26,11,0,nan,nan,0.04
11/3/2021 23:45:18,1.8.3,FR1,1,3.97,1,1,Pellet,Left,12,26,12,0,3.06,669,nan
11/3/2021 23:47:44,1.8.3,FR1,1,3.97,1,1,Left,Left,13,26,12,0,nan,nan,0.23
11/3/2021 23:47:51,1.8.3,FR1,1,3.97,1,1,Pellet,Left,13,26,13,0,6.67,153,nan
11/3/2021 23:57:20,1.8.3,FR1,1,3.96,1,1,Left,Left,14,26,13,0,nan,nan,0.42
11/3/2021 23:57:26,1.8.3,FR1,1,3.97,1,1,Pellet,Left,14,26,14,0,5.24,575,nan
11/3/2021 23:58:09,1.8.3,FR1,1,3.97,1,1,Left,Left,15,26,14,0,nan,nan,0.04
11/3/2021 23:58:15,1.8.3,FR1,1,3.96,1,1,Pellet,Left,15,26,15,0,4.90,48,nan
11/4/2021 0:02:38,1.8.3,FR1,1,3.97,1,1,Left,Left,16,26,15,0,nan,nan,0.10
11/4/2021 0:02:42,1.8.3,FR1,1,3.96,1,1,Pellet,Left,16,26,16,0,2.99,268,nan
