MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/22/2024 10:05:00,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,1,0,0,0,nan,nan,0.28
7/22/2024 10:05:36,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.85
7/22/2024 10:06:11,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,0.33
7/22/2024 10:07:01,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,0.43
7/22/2024 10:07:29,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,5,0,0,0,nan,nan,0.24
7/22/2024 10:11:21,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,6,0,0,0,nan,nan,0.89
7/22/2024 10:58:56,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,6,0,1,0,Timed_out,nan,nan
7/22/2024 10:59:26,1.16.3,FreeFeed,1,3.96,3,1,Pellet,Left,6,0,2,0,25.14,30,nan
7/22/2024 11:17:56,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,6,0,3,0,Timed_out,1110,nan
7/22/2024 11:17:57,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,6,0,4,0,0.60,1,nan
7/22/2024 11:18:38,1.16.3,FreeFeed,1,3.96,2,1,Pellet,Left,6,0,5,0,37.00,41,nan
7/22/2024 11:19:01,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,6,0,6,0,16.35,23,nan
7/22/2024 11:19:25,1.16.3,FreeFeed,1,3.95,2,1,Pellet,Left,6,0,7,0,16.91,24,nan
7/22/2024 11:19:50,1.16.3,FreeFeed,1,3.96,3,1,Pellet,Left,6,0,8,0,15.55,25,nan
7/22/2024 11:20:13,1.16.3,FreeFeed,1,3.96,2,1,Pellet,Left,6,0,9,0,15.98,23,nan
7/22/2024 11:21:13,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,6,1,9,0,nan,nan,0.44
7/22/2024 11:21:21,1.16.3,FreeFeed,1,3.95,nan,1,LeftWithPellet,Left,7,1,9,0,nan,nan,0.42
7/22/2024 11:21:27,1.16.3,FreeFeed,1,3.95,nan,1,LeftWithPellet,Left,8,1,9,0,nan,nan,0.55
7/22/2024 11:28:00,1.16.3,FreeFeed,1,3.96,nan,1,RightWithPellet,Left,8,2,9,0,nan,nan,2.44
7/22/2024 11:28:01,1.16.3,FreeFeed,1,3.96,nan,1,RightWithPellet,Left,8,3,9,0,nan,nan,0.35
7/22/2024 11:28:08,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,8,4,9,0,nan,nan,1.05
7/22/2024 11:28:11,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,8,5,9,0,nan,nan,0.42
7/22/2024 11:28:15,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,8,6,9,0,nan,nan,0.30
7/22/2024 11:28:18,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,8,7,9,0,nan,nan,0.06
7/22/2024 11:28:26,1.16.3,FreeFeed,1,3.95,nan,1,RightWithPellet,Left,8,8,9,0,nan,nan,0.13
7/22/2024 11:29:00,1.16.3,FreeFeed,1,3.96,nan,1,RightWithPellet,Left,8,9,9,0,nan,nan,0.48
7/22/2024 11:29:01,1.16.3,FreeFeed,1,3.96,nan,1,RightWithPellet,Left,8,10,9,0,nan,nan,0.19
7/22/2024 11:29:22,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,9,10,9,0,nan,nan,0.03
7/22/2024 11:29:33,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,10,10,9,0,nan,nan,0.38
7/22/2024 11:30:04,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,11,10,9,0,nan,nan,0.21
7/22/2024 11:31:15,1.16.3,FreeFeed,1,3.96,nan,1,LeftWithPellet,Left,12,10,9,0,nan,nan,0.16
7/22/2024 11:31:19,1.16.3,FreeFeed,1,3.96,nan,1,RightWithPellet,Left,12,11,9,0,nan,nan,0.76
7/22/2024 11:31:40,1.16.3,FreeFeed,1,3.96,2,1,Pellet,Left,12,11,10,0,Timed_out,687,nan
7/22/2024 11:31:41,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,12,11,11,0,0.36,1,nan
7/22/2024 11:31:42,1.16.3,FreeFeed,1,3.96,1,1,Pellet,Left,12,11,12,0,0.06,1,nan
7/22/2024 11:32:52,1.16.3,FreeFeed,1,3.95,nan,1,LeftWithPellet,Left,13,11,12,0,nan,nan,0.01
