MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:39:14,2,3.62,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:46:29,2,3.62,4.0,FR1,Pellet,Left,1,0,1,,0,FR1
2024-07-28 10:49:21,2,3.62,,FR1,Poke,Left,1,1,1,,0,FR1
2024-07-28 10:49:52,2,3.62,,FR1,Poke,Left,2,1,1,,0,FR1
2024-07-28 10:50:27,2,3.62,1.0,FR1,Pellet,Left,2,1,2,34.27,0,FR1
2024-07-28 10:52:13,2,3.62,,FR1,Poke,Left,3,1,2,,0,FR1
2024-07-28 10:52:33,2,3.62,1.0,FR1,Pellet,Left,3,1,3,18.86,0,FR1
2024-07-28 12:51:13,2,3.62,,FR1,Poke,Left,4,1,3,,0,FR1
2024-07-28 12:51:28,2,3.62,2.0,FR1,Pellet,Left,4,1,4,12.49,0,FR1
2024-07-28 12:54:13,2,3.62,,FR1,Poke,Left,4,2,4,,0,FR1
2024-07-28 17:02:34,2,3.62,,FR1,Poke,Left,4,3,4,,0,FR1
2024-07-28 17:04:35,2,3.61,,FR1,Poke,Left,5,3,4,,0,FR1
2024-07-28 17:04:40,2,3.62,2.0,FR1,Pellet,Left,5,3,5,2.27,0,FR1
2024-07-28 18:02:23,2,3.62,,FR1,Poke,Left,5,4,5,,0,FR1
2024-07-28 18:03:19,2,3.61,,FR1,Poke,Left,5,5,5,,0,FR1
2024-07-28 18:05:48,2,3.61,,FR1,Poke,Left,5,6,5,,0,FR1
2024-07-28 18:05:52,2,3.61,,FR1,Poke,Left,6,6,5,,0,FR1
2024-07-28 18:05:57,2,3.62,3.0,FR1,Pellet,Left,6,6,6,2.15,0,FR1
2024-07-28 18:22:00,2,3.61,,FR1,Poke,Left,6,7,6,,0,FR1
2024-07-28 18:24:19,2,3.61,,FR1,Poke,Left,7,7,6,,0,FR1
2024-07-28 18:24:21,2,3.61,,FR1,Poke,Left,8,7,6,,0,FR1
2024-07-28 18:24:26,2,3.61,2.0,FR1,Pellet,Left,8,7,7,5.7,0,FR1
2024-07-28 18:27:35,2,3.61,,FR1,Poke,Left,8,8,7,,0,FR1
2024-07-28 19:10:57,2,3.61,,FR1,Poke,Left,9,8,7,,0,FR1
2024-07-28 19:11:02,2,3.61,3.0,FR1,Pellet,Left,9,8,8,2.65,0,FR1
2024-07-28 19:13:22,2,3.61,,FR1,Poke,Left,9,9,8,,0,FR1
2024-07-28 19:13:30,2,3.61,,FR1,Poke,Left,10,9,8,,0,FR1
2024-07-28 19:13:31,2,3.61,1.0,FR1,Pellet,Left,10,9,9,0.63,0,FR1
2024-07-28 19:14:00,2,3.6,,FR1,Poke,Left,11,9,9,,0,FR1
2024-07-28 19:14:03,2,3.61,1.0,FR1,Pellet,Left,11,9,10,2.72,0,FR1
2024-07-28 19:15:12,2,3.61,,FR1,Poke,Left,12,9,10,,0,FR1
2024-07-28 19:15:13,2,3.61,,FR1,Poke,Left,13,9,10,,0,FR1
2024-07-28 19:15:16,2,3.6,,FR1,Poke,Left,14,9,10,,0,FR1
2024-07-28 19:15:17,2,3.61,2.0,FR1,Pellet,Left,14,9,11,2.34,0,FR1
2024-07-28 19:16:23,2,3.61,,FR1,Poke,Left,15,9,11,,0,FR1
2024-07-28 19:16:26,2,3.61,1.0,FR1,Pellet,Left,15,9,12,2.97,0,FR1
2024-07-28 20:05:54,2,3.61,,FR1,Poke,Left,15,10,12,,0,FR1
2024-07-28 20:19:04,2,3.61,,FR1,Poke,Left,16,10,12,,0,FR1
2024-07-28 20:19:08,2,3.6,2.0,FR1,Pellet,Left,16,10,13,0.82,0,FR1
2024-07-28 20:19:44,2,3.61,,FR1,Poke,Left,17,10,13,,0,FR1
2024-07-28 20:19:45,2,3.61,1.0,FR1,Pellet,Left,17,10,14,0.69,0,FR1
2024-07-28 20:21:17,2,3.61,,FR1,Poke,Left,18,10,14,,0,FR1
2024-07-28 20:21:21,2,3.6,2.0,FR1,Pellet,Left,18,10,15,0.94,0,FR1
2024-07-28 20:22:05,2,3.61,,FR1,Poke,Left,19,10,15,,0,FR1
2024-07-28 20:22:07,2,3.61,1.0,FR1,Pellet,Left,19,10,16,0.63,0,FR1
2024-07-28 20:24:27,2,3.61,,FR1,Poke,Left,20,10,16,,0,FR1
2024-07-28 20:24:29,2,3.6,1.0,FR1,Pellet,Left,20,10,17,1.32,0,FR1
2024-07-28 20:25:25,2,3.6,,FR1,Poke,Left,21,10,17,,0,FR1
2024-07-28 20:25:28,2,3.6,1.0,FR1,Pellet,Left,21,10,18,1.83,0,FR1
